sensor_id,timestamp,temperature_C,humidity_%,sea_temperature_C,sea_temp_band
M3,2002-09-09T00:00:00Z,12.8,77.0,15.6,warm
M5,2009-04-30T15:00:00Z,10.7,83.0,10.7,cold
M4-Archive,2003-11-18T21:00:00Z,13.0,95.0,12.2,mild
M2,2007-07-20T19:00:00Z,13.9,97.0,13.8,mild
M2,2010-01-01T07:00:00Z,5.2,64.0,10.3,cold
M3,2008-02-07T01:00:00Z,12.5,93.0,11.3,mild
M5,2015-04-03T05:00:00Z,9.46,89.1,8.72,cold
M4,2008-03-09T11:00:00Z,7.0,61.0,10.4,cold
M5,2006-05-19T17:00:00Z,11.6,96.0,11.2,mild
M4-Archive,2005-03-25T16:00:00Z,11.0,87.0,9.0,cold
M4,2011-06-29T08:00:00Z,11.61,79.7,12.61,mild
M5,2015-05-14T14:00:00Z,10.69,85.5,10.97,cold
M1,2007-03-06T08:00:00Z,9.6,60.0,10.2,cold
M4,2009-09-04T22:00:00Z,13.7,85.0,14.1,warm
M6,2007-05-06T16:00:00Z,12.1,82.0,12.1,mild
M2,2007-07-16T18:00:00Z,14.8,96.0,14.6,warm
M2,2007-12-07T00:00:00Z,11.5,84.0,12.3,mild
M1,2006-01-16T00:00:00Z,8.6,53.0,10.7,cold
M4,2008-12-29T09:00:00Z,6.5,82.0,10.4,cold
M5,2017-01-13T18:00:00Z,7.0,72.3,10.77,cold
M3,2005-01-28T13:00:00Z,9.4,80.0,11.1,cold
M5,2016-07-02T23:00:00Z,13.9,82.0,14.15,warm
M1,2005-02-15T01:00:00Z,9.9,95.0,9.9,cold
M5,2013-09-09T15:00:00Z,15.64,72.7,15.93,warm
M2,2015-03-07T02:00:00Z,8.94,88.3,7.86,cold
M4-Archive,2003-10-30T18:00:00Z,9.5,74.0,13.2,mild
M2,2013-06-20T19:00:00Z,13.39,87.1,13.67,mild
M2,2012-03-23T18:00:00Z,8.88,90.6,8.34,cold
M6,2010-12-16T04:00:00Z,10.8,72.0,11.4,mild
M2,2003-08-23T12:00:00Z,17.1,90.0,16.3,warm
M4-Archive,2007-03-08T07:00:00Z,7.8,84.0,8.9,cold
M5,2011-10-19T20:00:00Z,10.4,64.0,13.8,mild
M6,2012-04-10T00:00:00Z,8.6,76.0,10.9,cold
M1,2004-06-07T22:00:00Z,14.3,93.0,14.3,warm
M6,2012-11-08T08:00:00Z,10.5,83.0,11.9,mild
M5,2006-11-20T09:00:00Z,11.4,74.0,13.3,mild
M6,2012-11-24T08:00:00Z,9.6,73.0,11.2,mild
M1,2003-06-01T18:00:00Z,12.4,89.0,12.8,mild
M3,2017-04-06T02:00:00Z,9.83,73.4,10.84,cold
M5,2006-07-19T12:00:00Z,18.6,92.0,17.8,warm
M4,2010-07-25T07:00:00Z,14.5,96.0,14.4,warm
M2,2013-05-28T15:00:00Z,9.36,87.1,9.43,cold
M1,2004-01-26T10:00:00Z,6.9,70.0,10.7,cold
M3,2009-10-05T00:00:00Z,13.8,87.0,15.0,warm
M5,2017-07-16T15:00:00Z,15.54,89.8,16.34,warm
M1,2002-08-07T08:00:00Z,13.6,82.0,15.3,warm
M3,2016-06-26T08:00:00Z,14.62,96.9,14.9,warm
M4,2008-01-16T04:00:00Z,7.6,85.0,10.6,cold
M5,2005-10-15T20:00:00Z,15.5,85.0,14.1,warm
M5,2017-09-16T17:00:00Z,12.84,74.6,14.49,warm
M6,2006-12-07T03:00:00Z,10.8,75.0,11.8,mild
M4,2011-09-07T07:00:00Z,13.29,82.0,13.64,mild
M3,2009-06-08T00:00:00Z,12.4,72.0,13.5,mild
M1,2005-09-26T23:00:00Z,14.9,72.0,14.6,warm
M4,2008-02-10T15:00:00Z,9.2,87.0,10.4,cold
M6,2010-10-18T08:00:00Z,12.8,74.0,14.1,warm
M2,2015-04-11T22:00:00Z,8.19,77.0,7.96,cold
M2,2014-10-04T09:00:00Z,10.96,75.4,14.73,warm
M4,2010-02-26T19:00:00Z,4.7,89.0,9.1,cold
M1,2001-10-30T17:00:00Z,11.9,74.0,13.9,warm
M5,2012-11-19T02:00:00Z,12.77,84.0,12.0,mild
M5,2012-02-04T04:00:00Z,8.8,87.0,9.5,cold
M1,2004-01-16T04:00:00Z,7.8,75.0,10.8,cold
M1,2006-01-17T07:00:00Z,10.3,78.0,10.7,cold
M4,2011-04-01T16:00:00Z,10.2,90.0,10.4,cold
M6,2017-06-24T22:00:00Z,11.4,96.0,12.8,mild
M3,2002-08-09T23:00:00Z,14.2,80.0,14.9,warm
M5,2012-12-28T03:00:00Z,11.65,96.5,10.12,cold
M3,2002-12-21T18:00:00Z,11.6,97.0,11.3,mild
M2,2008-02-03T22:00:00Z,5.7,81.0,9.3,cold
M4-Archive,2005-02-24T11:00:00Z,3.5,69.0,8.3,cold
M3,2003-05-17T00:00:00Z,12.0,92.0,12.0,mild
M1,2007-04-21T09:00:00Z,12.3,90.0,11.6,mild
M4,2010-08-25T19:00:00Z,13.7,73.0,14.6,warm
M2,2007-02-24T05:00:00Z,8.6,93.0,9.0,cold
M6,2006-11-16T00:00:00Z,8.2,76.0,12.8,mild
M5,2013-01-02T01:00:00Z,10.11,80.9,10.15,cold
M5,2015-03-14T03:00:00Z,7.3,81.6,8.34,cold
M2,2012-05-15T20:00:00Z,8.74,70.3,9.78,cold
M4,2008-01-05T16:00:00Z,8.5,72.0,10.9,cold
M2,2001-10-18T15:00:00Z,15.1,90.0,14.1,warm
M2,2017-08-30T03:00:00Z,13.46,81.6,14.63,warm
M5,2009-11-18T02:00:00Z,12.8,84.0,12.4,mild
M6,2012-01-13T16:00:00Z,11.1,84.0,11.0,cold
M2,2005-09-18T03:00:00Z,13.7,84.0,14.0,warm
M3,2009-07-22T15:00:00Z,16.0,88.0,16.0,warm
M5,2006-12-01T19:00:00Z,12.0,71.0,12.4,mild
M4,2012-11-26T05:00:00Z,9.53,71.9,10.49,cold
M3,2007-10-29T00:00:00Z,12.8,67.0,14.5,warm
M1,2006-06-16T10:00:00Z,13.6,92.0,13.5,mild
M2,2002-03-23T07:00:00Z,9.5,80.0,8.6,cold
M3,2005-02-14T19:00:00Z,9.9,95.0,10.9,cold
M5,2010-08-08T19:00:00Z,15.8,78.0,16.3,warm
M5,2006-02-01T02:00:00Z,6.1,72.0,9.3,cold
M4,2011-05-12T01:00:00Z,11.5,85.0,11.6,mild
M4,2010-10-19T13:00:00Z,9.7,79.0,13.5,mild
M2,2010-01-10T10:00:00Z,5.6,71.0,9.1,cold
M6,2010-07-24T23:00:00Z,14.9,99.0,14.9,warm
M5,2005-05-25T16:00:00Z,11.9,94.0,11.6,mild
M4,2010-11-15T23:00:00Z,9.8,78.0,11.5,mild
M2,2001-09-07T07:00:00Z,14.7,91.9,13.8,mild
M3,2014-09-20T15:00:00Z,16.33,89.5,16.37,warm
M2,2013-07-24T01:00:00Z,13.87,94.1,12.68,mild
M3,2007-06-27T23:00:00Z,13.6,68.0,14.9,warm
M6,2015-08-03T21:00:00Z,13.6,91.0,14.0,warm
M3,2017-06-09T14:00:00Z,13.59,93.8,13.19,mild
M1,2002-12-28T22:00:00Z,9.3,95.0,10.7,cold
M3,2008-04-22T07:00:00Z,10.5,87.0,10.9,cold
M3,2009-08-29T16:00:00Z,15.0,87.0,15.3,warm
M2,2005-12-10T01:00:00Z,11.6,95.0,12.2,mild
M1,2004-02-20T03:00:00Z,7.2,68.0,10.6,cold
M3,2008-03-01T02:00:00Z,11.5,76.0,11.3,mild
M3,2007-08-01T03:00:00Z,15.7,84.0,16.6,warm
M1,2003-06-12T04:00:00Z,12.5,78.0,12.7,mild
M2,2016-03-29T03:00:00Z,7.1,96.9,8.51,cold
M4-Archive,2006-02-04T14:00:00Z,8.7,73.0,9.5,cold
M2,2004-04-26T18:00:00Z,10.2,83.0,10.2,cold
M3,2008-08-06T01:00:00Z,16.8,94.0,16.9,warm
M1,2004-06-26T02:00:00Z,13.5,92.0,14.3,warm
M3,2012-08-17T04:00:00Z,15.13,92.2,15.86,warm
M6,2013-08-06T16:00:00Z,14.3,85.0,16.0,warm
M4,2013-06-09T00:00:00Z,13.73,62.5,13.57,mild
M6,2009-02-01T09:00:00Z,9.8,72.0,11.4,mild
M2,2004-04-26T10:00:00Z,8.5,81.0,9.1,cold
M5,2017-09-18T20:00:00Z,14.62,77.3,14.56,warm
M1,2003-06-20T23:00:00Z,13.1,79.0,14.0,warm
M1,2003-06-05T02:00:00Z,12.6,86.0,12.6,mild
M1,2001-11-10T19:00:00Z,13.0,88.0,13.2,mild
M2,2015-06-10T05:00:00Z,10.52,90.2,10.49,cold
M6,2010-01-19T16:00:00Z,8.0,91.0,11.1,cold
M1,2004-03-29T13:00:00Z,10.2,77.0,11.1,cold
M6,2010-03-03T20:00:00Z,9.0,68.0,10.4,cold
M5,2005-10-05T01:00:00Z,13.7,62.0,14.2,warm
M4-Archive,2006-08-22T08:00:00Z,14.8,91.0,15.8,warm
M6,2017-07-17T06:00:00Z,14.2,89.0,15.2,warm
M2,2011-12-03T17:00:00Z,10.07,70.5,12.89,mild
M4-Archive,2006-10-20T07:00:00Z,13.5,92.0,14.4,warm
M3,2005-02-14T02:00:00Z,7.3,63.0,10.8,cold
M3,2004-09-24T20:00:00Z,14.4,86.0,14.1,warm
M4,2007-11-22T11:00:00Z,9.1,63.0,12.1,mild
M2,2006-06-13T00:00:00Z,13.0,95.0,12.4,mild
M5,2005-08-01T11:00:00Z,14.5,89.0,15.4,warm
M5,2010-10-01T22:00:00Z,14.8,69.0,14.8,warm
M4-Archive,2007-03-12T05:00:00Z,7.2,88.0,8.6,cold
M1,2001-05-05T00:00:00Z,10.4,83.3,10.4,cold
M3,2003-07-26T14:00:00Z,13.5,86.0,15.4,warm
M5,2010-04-16T10:00:00Z,7.9,75.0,8.6,cold
M3,2016-12-01T05:00:00Z,10.62,70.7,11.38,mild
M4,2010-01-25T09:00:00Z,7.0,80.0,9.3,cold
M1,2007-03-17T11:00:00Z,10.4,96.0,10.4,cold
M4,2016-10-08T02:00:00Z,12.84,85.9,13.33,mild
M5,2014-06-22T17:00:00Z,15.82,85.2,16.37,warm
M1,2001-07-10T00:00:00Z,14.8,91.9,14.8,warm
M2,2002-05-19T11:00:00Z,11.3,85.0,9.9,cold
M3,2010-04-09T05:00:00Z,10.3,83.0,10.5,cold
M3,2003-01-10T11:00:00Z,8.1,55.0,11.3,mild
M4-Archive,2004-07-19T16:00:00Z,14.3,80.0,15.4,warm
M3,2011-04-14T04:00:00Z,10.2,87.0,11.3,mild
M3,2007-06-25T04:00:00Z,14.1,84.0,14.8,warm
M2,2006-09-08T16:00:00Z,14.7,79.0,14.6,warm
M6,2017-11-26T07:00:00Z,11.2,86.0,12.7,mild
M6,2009-03-04T23:00:00Z,7.5,77.0,11.5,mild
M4-Archive,2004-12-23T20:00:00Z,10.5,72.0,10.3,cold
M2,2005-12-11T15:00:00Z,11.2,71.0,12.0,mild
M5,2005-11-06T06:00:00Z,12.1,86.0,13.4,mild
M2,2015-03-16T10:00:00Z,6.24,82.4,7.52,cold
M5,2005-04-01T06:00:00Z,10.0,94.0,9.8,cold
M3,2016-09-02T19:00:00Z,16.46,87.5,16.17,warm
M2,2006-09-12T16:00:00Z,15.6,97.0,14.3,warm
M2,2012-10-01T20:00:00Z,13.29,71.9,14.39,warm
M3,2002-09-08T01:00:00Z,14.4,75.0,15.5,warm
M5,2008-01-07T22:00:00Z,10.1,76.0,10.4,cold
M5,2009-05-31T00:00:00Z,13.3,85.0,12.4,mild
M3,2003-04-25T13:00:00Z,11.8,78.0,11.5,mild
M2,2004-09-28T21:00:00Z,14.1,80.0,14.3,warm
M2,2016-12-26T20:00:00Z,8.81,71.1,10.87,cold
M5,2010-09-01T02:00:00Z,15.2,90.0,15.1,warm
M5,2016-12-05T06:00:00Z,10.01,82.8,11.9,mild
M5,2010-09-03T19:00:00Z,15.8,94.0,16.0,warm
M3,2012-08-16T17:00:00Z,14.38,93.4,15.93,warm
M5,2007-06-10T16:00:00Z,16.5,93.0,16.7,warm
M5,2006-12-06T13:00:00Z,10.1,70.0,12.0,mild
M4,2009-02-26T08:00:00Z,10.0,82.0,10.1,cold
M5,2013-07-05T08:00:00Z,14.41,82.8,14.49,warm
M4,2008-09-25T13:00:00Z,14.0,91.0,14.4,warm
M4,2009-09-09T05:00:00Z,13.8,71.0,14.0,warm
M5,2010-05-20T14:00:00Z,12.1,99.0,12.2,mild
M3,2005-11-25T07:00:00Z,7.6,77.0,12.3,mild
M6,2012-04-16T12:00:00Z,11.3,98.0,10.7,cold
M6,2006-10-29T22:00:00Z,14.2,93.0,13.7,mild
M2,2017-05-13T00:00:00Z,10.59,96.9,9.95,cold
M5,2009-12-07T10:00:00Z,8.9,78.0,11.4,mild
M3,2003-01-11T06:00:00Z,7.4,59.0,11.4,mild
M5,2012-07-04T14:00:00Z,14.79,88.9,15.0,warm
M2,2009-11-03T23:00:00Z,9.94,77.8,13.77,mild
M6,2010-12-23T02:00:00Z,8.1,60.0,11.4,mild
M1,2004-01-09T16:00:00Z,10.3,69.0,11.1,cold
M3,2008-10-05T20:00:00Z,11.6,92.0,13.1,mild
M2,2005-05-15T16:00:00Z,11.2,68.0,9.9,cold
M2,2008-04-25T03:00:00Z,9.7,86.0,8.2,cold
M5,2007-10-05T02:00:00Z,14.1,78.0,14.5,warm
M3,2010-02-16T05:00:00Z,6.4,82.0,10.4,cold
M6,2012-01-14T09:00:00Z,10.9,84.0,10.9,cold
M3,2009-08-10T00:00:00Z,16.2,99.0,15.7,warm
M6,2014-08-04T01:00:00Z,15.9,71.0,16.8,warm
M6,2012-03-14T03:00:00Z,11.4,89.0,11.2,mild
M3,2007-04-10T22:00:00Z,11.3,86.0,12.0,mild
M4-Archive,2006-01-02T22:00:00Z,10.9,94.0,10.5,cold
M5,2017-03-01T08:00:00Z,8.36,66.0,9.43,cold
M1,2003-10-17T15:00:00Z,13.1,78.0,14.8,warm
M3,2007-06-12T23:00:00Z,14.8,90.0,15.4,warm
M2,2011-08-24T21:00:00Z,14.89,76.5,15.2,warm
M6,2017-04-23T15:00:00Z,11.9,77.0,13.0,mild
M3,2002-08-15T23:00:00Z,14.8,83.0,15.6,warm
M1,2002-02-24T22:00:00Z,11.0,92.0,10.4,cold
M2,2012-04-20T20:00:00Z,8.54,76.6,9.13,cold
M2,2002-03-07T19:00:00Z,9.5,84.0,8.2,cold
M5,2013-07-21T14:00:00Z,17.7,82.0,17.81,warm
M2,2014-08-06T20:00:00Z,17.56,76.2,16.58,warm
M6,2007-04-26T22:00:00Z,11.8,84.0,12.0,mild
M4-Archive,2006-02-13T11:00:00Z,10.3,91.0,9.5,cold
M1,2004-06-24T13:00:00Z,12.6,72.0,14.1,warm
M2,2001-08-19T12:00:00Z,14.6,94.9,13.8,mild
M3,2003-08-31T16:00:00Z,16.0,73.0,17.5,warm
M5,2009-11-09T17:00:00Z,12.1,78.0,13.1,mild
M5,2007-11-25T17:00:00Z,12.6,86.0,12.7,mild
M4-Archive,2005-03-28T06:00:00Z,8.1,87.0,8.9,cold
M2,2005-11-15T02:00:00Z,12.7,91.0,13.0,mild
M3,2008-03-07T06:00:00Z,8.7,72.0,11.1,cold
M2,2006-07-10T09:00:00Z,13.2,99.0,12.8,mild
M3,2011-07-09T19:00:00Z,13.9,83.0,13.9,warm
M3,2006-01-10T13:00:00Z,12.1,91.0,11.0,cold
M4,2010-08-29T17:00:00Z,12.9,62.0,14.1,warm
M2,2012-02-11T16:00:00Z,7.34,89.8,8.65,cold
M6,2011-10-26T06:00:00Z,10.3,94.0,13.1,mild
M5,2017-11-27T05:00:00Z,11.1,82.4,12.61,mild
M2,2011-04-20T06:00:00Z,9.32,91.5,8.91,cold
M3,2009-05-16T17:00:00Z,10.9,75.0,10.9,cold
M4,2011-09-07T20:00:00Z,12.26,85.2,13.6,mild
M1,2003-04-20T01:00:00Z,9.5,71.0,10.6,cold
M5,2017-02-21T20:00:00Z,10.96,91.4,9.88,cold
M2,2005-09-19T15:00:00Z,14.8,86.0,13.9,warm
M5,2007-09-09T10:00:00Z,15.3,83.0,15.6,warm
M3,2009-09-29T20:00:00Z,14.2,75.0,15.0,warm
M3,2004-05-14T02:00:00Z,11.5,97.0,11.6,mild
M2,2005-11-02T02:00:00Z,11.4,91.0,13.9,warm
M3,2008-07-05T17:00:00Z,14.3,94.0,14.7,warm
M3,2009-02-04T03:00:00Z,4.1,68.0,10.0,cold
M6,2007-09-07T15:00:00Z,16.8,88.0,17.5,warm
M3,2014-04-28T17:00:00Z,11.0,86.7,11.21,mild
M2,2012-11-24T10:00:00Z,8.98,66.4,12.37,mild
M1,2005-05-19T09:00:00Z,10.2,88.0,11.6,mild
M4,2008-02-08T14:00:00Z,9.9,75.0,10.4,cold
M2,2013-02-04T06:00:00Z,8.36,64.5,8.54,cold
M3,2017-06-09T16:00:00Z,13.18,91.8,13.19,mild
M2,2015-07-11T00:00:00Z,13.35,95.7,12.54,mild
M5,2016-12-16T05:00:00Z,11.71,94.5,11.66,mild
M2,2007-01-28T13:00:00Z,9.2,84.0,9.6,cold
M2,2010-01-02T14:00:00Z,5.1,86.0,10.2,cold
M3,2006-07-11T12:00:00Z,15.3,91.0,15.1,warm
M4,2008-05-26T22:00:00Z,12.9,82.0,13.0,mild
M2,2008-03-20T22:00:00Z,10.1,79.0,8.3,cold
M3,2006-08-16T23:00:00Z,15.9,87.0,16.1,warm
M1,2003-06-22T21:00:00Z,13.6,84.0,14.1,warm
M4,2010-11-12T01:00:00Z,10.5,75.0,11.7,mild
M5,2005-09-18T07:00:00Z,14.1,68.0,16.6,warm
M2,2008-12-18T13:00:00Z,11.1,88.0,10.4,cold
M3,2003-10-16T21:00:00Z,14.8,75.0,15.4,warm
M5,2013-07-17T06:00:00Z,18.04,87.5,17.64,warm
M2,2015-03-30T14:00:00Z,7.58,92.6,7.59,cold
M3,2014-03-29T15:00:00Z,8.74,74.2,10.32,cold
M4,2010-12-05T21:00:00Z,7.0,62.0,10.6,cold
M5,2010-07-20T23:00:00Z,15.5,82.0,16.1,warm
M3,2005-04-05T02:00:00Z,10.4,72.0,11.1,cold
M3,2006-02-09T22:00:00Z,8.0,68.0,10.6,cold
M4-Archive,2007-01-31T11:00:00Z,10.2,97.0,8.7,cold
M6,2010-10-08T11:00:00Z,15.0,92.0,14.1,warm
M3,2005-10-20T12:00:00Z,13.8,76.0,14.0,warm
M2,2015-08-02T19:00:00Z,15.0,84.0,12.99,mild
M3,2004-06-16T08:00:00Z,16.5,96.0,16.7,warm
M2,2005-12-02T21:00:00Z,9.1,77.0,12.3,mild
M5,2010-07-24T08:00:00Z,15.4,95.0,16.2,warm
M1,2005-04-20T18:00:00Z,10.9,77.0,11.1,cold
M2,2008-02-13T17:00:00Z,9.4,86.0,9.3,cold
M2,2006-02-25T01:00:00Z,5.0,70.0,8.7,cold
M3,2010-05-14T09:00:00Z,10.7,78.0,11.7,mild
M5,2005-06-16T14:00:00Z,15.3,96.0,14.2,warm
M2,2010-02-09T04:00:00Z,5.4,74.0,7.8,cold
M2,2011-05-23T12:00:00Z,11.61,67.9,10.87,cold
M1,2006-08-09T00:00:00Z,15.2,79.0,16.4,warm
M2,2007-09-01T01:00:00Z,15.5,93.0,14.7,warm
M4,2017-09-03T22:00:00Z,15.06,99.2,14.8,warm
M3,2003-11-13T21:00:00Z,12.5,84.0,13.0,mild
M3,2015-02-22T20:00:00Z,9.22,72.3,10.63,cold
M1,2007-05-15T07:00:00Z,11.4,92.0,11.9,mild
M5,2013-03-25T12:00:00Z,3.37,66.0,8.54,cold
M3,2011-04-13T23:00:00Z,10.5,99.0,11.3,mild
M6,2010-09-24T21:00:00Z,14.2,68.0,16.3,warm
M6,2008-11-04T19:00:00Z,11.8,98.0,13.1,mild
M3,2010-10-30T10:00:00Z,13.4,80.0,13.9,warm
M6,2015-09-13T22:00:00Z,11.9,71.0,14.4,warm
M3,2012-07-27T03:00:00Z,15.4,87.9,15.89,warm
M6,2010-11-20T06:00:00Z,10.5,70.0,11.6,mild
M5,2011-11-09T07:00:00Z,13.6,97.0,13.2,mild
M3,2016-10-26T05:00:00Z,13.8,82.8,13.4,mild
M2,2012-05-30T20:00:00Z,12.09,93.0,11.79,mild
M6,2007-09-26T03:00:00Z,13.1,58.0,15.3,warm
M3,2010-01-06T13:00:00Z,5.0,58.0,10.6,cold
M2,2006-07-26T10:00:00Z,15.1,98.0,16.1,warm
M6,2014-07-22T02:00:00Z,15.9,93.0,16.0,warm
M5,2009-07-30T22:00:00Z,15.4,74.0,15.5,warm
M3,2007-09-24T04:00:00Z,13.9,72.0,15.6,warm
M6,2012-10-05T03:00:00Z,11.2,76.0,13.1,mild
M1,2002-06-11T23:00:00Z,11.5,80.0,11.7,mild
M3,2010-05-08T23:00:00Z,11.0,75.0,11.7,mild
M1,2002-03-12T23:00:00Z,7.8,72.0,10.1,cold
M1,2004-04-23T08:00:00Z,11.5,94.0,10.8,cold
M2,2012-01-07T20:00:00Z,8.84,79.1,9.78,cold
M6,2008-08-13T14:00:00Z,14.6,77.0,15.6,warm
M2,2007-11-09T23:00:00Z,11.4,81.0,13.3,mild
M6,2017-07-14T05:00:00Z,14.8,88.0,14.8,warm
M4,2016-11-20T10:00:00Z,8.57,61.3,11.52,mild
M4-Archive,2006-06-28T07:00:00Z,13.6,93.0,14.2,warm
M4,2011-11-05T01:00:00Z,10.28,65.2,12.06,mild
M4-Archive,2006-08-18T13:00:00Z,15.4,92.0,16.0,warm
M6,2012-11-29T05:00:00Z,10.3,76.0,11.3,mild
M1,2001-11-19T08:00:00Z,12.0,86.0,12.8,mild
M3,2008-05-23T08:00:00Z,13.1,88.0,13.1,mild
M1,2004-02-24T11:00:00Z,9.2,86.0,10.7,cold
M6,2008-03-03T14:00:00Z,7.3,81.0,11.3,mild
M2,2005-12-07T03:00:00Z,9.1,78.0,12.3,mild
M3,2013-02-03T11:00:00Z,10.76,90.2,10.6,cold
M1,2005-11-09T06:00:00Z,10.7,63.0,12.5,mild
M6,2013-07-17T03:00:00Z,16.5,95.0,16.0,warm
M4,2010-08-06T22:00:00Z,14.7,91.0,15.1,warm
M3,2013-01-05T08:00:00Z,11.3,91.8,10.6,cold
M6,2017-05-21T20:00:00Z,12.4,90.0,12.2,mild
M4-Archive,2003-12-01T10:00:00Z,9.5,68.0,11.4,mild
M2,2014-08-29T05:00:00Z,15.64,81.2,15.18,warm
